"title","description","propertyType","price","dateSold","landSize","suburb","postCode","latitude","longitude","bedrooms","bathrooms","parkingSpaces","outdoorFeatures","indoorFeatures","totalFeatures"
"Coveted Family Comforts With Prized Possibilities","One of the Balwyn High School zone’s most attractive treelined settings reveals the timeless profile of this superbly-established family residence that’s perfectly poised to offer spacious current-day comfort while inspiring ideas for a grand modern design. Set on a 755 sq. metre garden allotment (approx.), this previously-extended Californian bungalow with its large and light-filled, five bedroom floorplan is impressively maintained and secure combining quality, character and flexibility.<br/><br/>Complemented by central heating, split-system air-conditioning, ducted vacuum and CCTV cameras, this elegantly-presented home is designed to adapt to changing family needs with versatile accommodation including four ground-level bedrooms (one with WIR and ensuite; others with home office and lounge room capability) and a beautiful upstairs parents’ retreat featuring a stylish bedroom, dressing room, walk-in robe and an immaculate ensuite. <br/><br/>Central is a gourmet stone-topped kitchen boasting Miele/Bosch appliances that’s flanked by a fireside sitting/dining room, meals area and a family living room. French doors open to a huge timber deck where for outstanding alfresco entertaining are a 10-person spa, BBQ area and firepit in sun-drenched garden surroundings including auto irrigation and night-lights. Also offers family bathroom, laundry, storage, polished floorboards, leadlight windows, ceiling fans, security doors and parking.<br/><br/>A family looking to the future with excellence in mind will immediately appreciate the relaxed nature of this highly-functional 1920s home as they consider the options to further enhance or start again with a luxury domain to set a stunning new standard of grandeur and sophistication (STCA). The dimensions are inviting, the potential is irresistible and the prospects of perfection are absolutely elite near private schools, parks, trams, cinema and excellent Balwyn shopping and cafes. <br/>","house","$3,280,000","2023-05-12","755.0","Balwyn","3103","-37.807511","145.073893","5","3","2.0","1","0","1"
"Family sized single level elegance","Entirely independent with its own street frontage and private driveway, this beautifully elegant single level townhouse provides family sized spaces in an effortless lock up and leave format with remote double garage. In an elevated position on a quiet tree lined street, its spacious proportions have been designed to capture abundant northern light and leafy valley aspects close to Camberwell Junction and leading local and private schools. Light filled formal living and dining areas enjoy leafy garden and streetscape views whilst at the rear, sun filled north facing family living/dining and its granite topped servery kitchen unfold to a high fenced garden courtyard. In their own separate zone with a family bathroom, three oversized bedrooms include two overlooking a second courtyard with excellent built in robes, the luxurious main with walk in robe and ensuite gazing out over the garden. Further highlights include a powder room and dedicated laundry, ducted heating, split cooling, high ceilings and immaculate presentation, exterior sun blinds, solar panels lowering your electricity bills, secure intercom, internally accessed remote double garage and additional gated off-street parking. From this premier address, walk around the corner to Bowen Gardens, local cafes, revered Camberwell South and St Mary’s Primary Schools, Camberwell trams and #612 buses. Enjoy easy access to Camberwell Junction, a host of leading private schools and the Monash Freeway.","townhouse","$1,870,000","2023-05-06","330.0","Camberwell","3124","-37.84485331","145.06803579","3","2","2.0","1","0","1"
"Stylish Starter Home in Prized Position","Expertly designed to maximise space, light and comfort, this impeccable 2 bedroom townhouse offers a special opportunity to enter the market with confidence or supercharge your investment portfolio in a friendly neighbourhood of unmatched convenience.<br/><br/>Under soaring cathedral ceilings, the air-conditioned luxury of open-plan living and dining is underscored by a stone-finished kitchen showcasing a waterfall-edged island bench and quality stainless-steel appliances including a dishwasher. All this sunlit space is enriched by a versatile formal living area that could easily work as a large home office.<br/><br/>Purpose-built for alfresco entertaining, make a seamless sliding glass connection with a private east-facing courtyard, capturing the warmth of morning sun with ease. Both generously proportioned bedrooms are zoned upstairs, serviced by built-in robes and a deluxe bathroom with a luxurious bath and a separate shower. Comprehensive features include a ground-floor powder room, laundry, heating/cooling throughout, a storage shed, secure alarm system and a remote-controlled garage with internal access.<br/><br/>Safely ensconced in the Mount Waverley Secondary College, enjoy close proximity to Deakin University, Burwood Brickworks shopping, a range of leading private schools, city-bound trams and so much more!<br/><br/>","townhouse","$921,000","2023-05-06","","Burwood","3125","-37.84589224","145.12458268","2","1","2.0","1","0","1"
"Low Maintenance and Luxe","Set over two levels, this three-bedroom contemporary townhouse offers the ease of low-maintenance living with the convenience of an excellent location. Featuring floating floorboards and a bright, open-plan layout with two living spaces; one on each level. The ground level includes an open and air-conditioned living and meals area that flows into a modern kitchen. Stylish and spacious, it includes luxe stone benchtops, a 900 mm gas cooktop and an electric oven as well as a stainless-steel dishwasher for easy clean-up. <br/><br/>From the dining space, step outside to an alfresco outdoor area that's ideal for entertaining. It all over looks a low-maintenance private courtyard. For added convenience, a bonus powder room is on the ground floor for guests and a Euro laundry maximisers space. The master bedroom is located on the ground floor with access to a full private ensuite with stone vanity tops. With a split-system air conditioner, you can enjoy the perfect sleeping temperature all year round. Upstairs, two bedrooms also feature split system air conditioning as well as built-in robes. They share a second open living area that can be used as a study or retreat and a shared central bathroom with stone tops and a separate WC for added convenience. All bedrooms are carpeted for comfort. Added extras include an alarm system for extra peace of mind, energy-efficient LED downlighting, as well as a remote-controlled garage for secure, off-street parking. <br/><br/>You'll enjoy the quiet location that's still within walking distance of Box Hill Centro, a wide variety of café and restaurants and cafes, and Box Hill Train Station as well as tram and buses. You're also just minutes from Westfield Doncaster, a variety of primary and secondary schools including Box Hill High School which is just a few minutes of walking away, Deakin University, childcare and<br/>recreational facilities, and easy access to the Eastern Freeway.<br/><br/>Property Specifications:<br/>*Stylish and modern three-bedroom, two-and-a-half-bathroom townhouse<br/>*Two living spaces and a bright open-plan layout<br/>*Luxury kitchen with stone bench and quality stainless steel appliances<br/>*Entertainer's area and private rear courtyard, remote-controlled garage<br/>*Excellent location within walking distance to shopping and more<br/><br/>The extras added to the original house includes:<br/>1. Installed 2x air conditioning units for the upstairs bedrooms, one in each bedroom.<br/>2. Upgraded the light fittings in the kitchen.<br/>3. Replaced the tap ware in the whole house.<br/>4. Replaced the toilet bowls in the downstairs toilets.<br/>5. Installed a Bosch dishwasher.<br/>6. Installed cabinets in the laundry.<br/>7. Installed a pantry and drawers.<br/>8. Painted the kitchen cabinets.<br/>9. Installed hot water system.","townhouse","$985,000","2023-05-03","","Box Hill","3128","-37.81750071","145.13361272","3","2","2.0","2","0","2"
"GENEROUS HIGH CORNER LOCATION WITH POTENTIAL","A convenient frontage with access from Aminya Place and adjacent Cooper Reserve complement this Kerrie Morrow architect designed 1970’s ‘Hawthorn’ brick 5 bedroom/3 bathroom family residence enjoying a prized corner location. High ceilings and an abundance of space and accommodation highlight the enormous future potential to update and improve throughout or capitalise on the position and elevated nature of this generous corner allotment and build/develop your new home/s (STCA). Just a short stroll to Through Road shops and cafes, trams, parklands, with easy access to some of Melbourne’s very best schools. This true entertainers family home offers formal lounge room, dining room, large downstairs rumpus room overlooking pool, family friendly kitchen, reverse cycle heating and cooling, ample storage and cellar, established garden and paved rear with swimming pool plus lock up garage.<br/><br/>The perfect opportunity to build, develop or renovate and enhance the existing home and take advantage of this impressive sought after position.<br/>","house","$2,105,000","2023-04-29","617.0","Camberwell","3124","-37.837796","145.095286","5","3","2.0","4","5","9"
"Contemporary Refinement With A Spacious Single-level Layout In The MWSC Catchment","A stunning easy-living sanctuary of modern indulgence, this abundantly accommodating residence is defined by its timeless detail, light-filled space and dual-zoned single-level layout. A north-facing lounge is the perfect introduction to vast open-plan living/dining, where a gourmet kitchen featuring stainless steel appliances and island bench serves in style. An impressive sense of space is further highlighted by 3 robed bedrooms (main with ensuite/WIR), beautiful bathroom and a study versatile as a 4th bedroom. Quality, contemporary refinement and lifestyle allure are further enriched by timber floors, ducted heating and double garage. Zoned for MWSC, walking distance to Deakin Uni, 75 tram, Burwood Brickworks, and close to Burwood One Shopping Centre, PLC, Mount Scopus, Kingswood College and Essex Heights Primary School.<br/><br/>*Please Note* Buxton Real Estate may refuse to provide further information about the property should you prefer not to disclose your Full Contact Details including Phone Number. Photo id required upon entering the property.","house","$1,756,000","2023-04-29","608.0","Burwood","3125","-37.84694","145.129918","4","2","2.0","1","0","1"
"The perfect family home on an appealing elevated block","Brilliantly located so close to Presbyterian Ladies’ College and Deakin University, and stunningly elevated and offering striking contemporary character and first class quality over two levels, this 5 bedroom, 3 bathroom residence is your stylish family destiny.<br/><br/>A newly landscaped front garden and decked entry which gives you wonderful southerly views is a first impression you won’t forget. Inside, two front bedrooms share the elevated vistas, including the master bedroom which accesses a generous walk-in robe and stylish ensuite. The north-facing central lounge and dining zone will be your ultimate everyday living area, with this space including the stone kitchen which comes with an enormous breakfast bar and stainless steel appliances including a 5-burner cooktop.<br/><br/>Upstairs, there are 3 more bedrooms all with built-in robes as well as a beautiful family bathroom. To complete this special property, an amazing indoor/outdoor decked entertaining area with heating/cooling has space for dining and living, and can be utilised all year round no matter the weather. Other features include a downstairs bathroom, laundry, ducted heating, split system cooling, secure pin entry, easy north-facing garden, shed, and a double remote garage.<br/><br/>You’re also positioned near the energetic Burwood Village, Parkhill Primary School, Ashwood High School, Gardiners Creek Trail, Bennetswood Reserve, Wattle Park, buses, city-bound trams, and Burwood Station.<br/><br/><br/>Inspections<br/>If you would like to pre-register to inspect this property please click on the “Register” button below and enter your details.<br/><br/>We donate a portion of our fee from every property transaction to the Woodards Foundation to support people experiencing homelessness, family violence and social isolation.<br/><br/>Onsite & Online Auction with Anywhere Auctions<br/>If you cannot attend the property to bid we offer the option of remote online bidding with Anywhere Auctions.<br/>To Register to Bid: Please visit the Anywhere Auctions website https://anywhereauctions.com.au or download the app and click on the “Register to Bid” button against this property. Registration only takes few minutes and you will be able to bid online from the safety of your own home. *Note: You must register to bid 24 hours prior to the start of the auction.","house","$1,476,000","2023-04-29","438.0","Burwood","3125","-37.85182425","145.1072589","5","3","2.0","1","0","1"
"Traditional Comfort & Charm With Future Potential","Charming traditional proportions, impressive land dimensions (706sqm approx) and a prized family location, present a richly rewarding opportunity to home buyers, renovators and developers. Perfectly comfortable spaces offer an enticing basis to completely modernise this 3 bedroom, 1 bathroom home, with immaculate interiors providing a cosy lounge, central kitchen/meals area, bright living room, covered entertaining alfresco and built-in BBQ, ducted heating and single garage. Alternatively, this impressive allotment delivers unparalleled opportunity to build a luxurious new residence or redevelop (STCA) within the Ashwood College zone, close to Deakin University, PLC, Mount Scopus, Burwood Road trams, buses to Box Hill, Gardiners Creek and Wattle Park.<br/><br/>*Please Note* Buxton Real Estate may refuse to provide further information about the property should you prefer not to disclose your Full Contact Details including Phone Number. Photo id required upon entering the property.","house","$1,470,000","2023-04-29","706.0","Burwood","3125","-37.85443","145.111918","3","1","1.0","1","0","1"
"Fashionable and sun-splashed with blue-ribbon allure","Merely seconds from peaceful Maranoa Gardens and family-friendly Beckett Park, embrace the desirable benefits of a low-maintenance lifestyle within this stylishly renovated three bedroom, two bathroom residence.<br/><br/>Part of a boutique enclave that is walking distance to effervescent Balwyn Village and the 109 tram, a private high-fenced courtyard and double auto carport precede the luminous interiors. Gleaming floorboards and a light neutral colour palette complement the open-plan living/dining room. On one side, Spanish stone bench/splashback and Bosch appliances feature in the gourmet kitchen while the other side showcases a wall of north-facing glazing, looking out to a sunny paved courtyard. The master bedroom boasts a marble ensuite, walk-in robe, built-in robe and handy attic storage.<br/><br/>Zoned for prestigious Balwyn High School and cherished Chatham Primary School, fine dining and fabulous cafes are just metres away. Catch the tram to elite private schools, Box Hill and the city.<br/><br/>* Private and peaceful three bedroom, two bathroom home<br/>* In a boutique enclave just seconds from Maranoa Gardens and Beckett Park<br/>* Sun-filled living/dining out to a north-facing courtyard<br/>* Gourmet Spanish stone kitchen with Bosch appliances<br/>* Master bedroom with WIR and marble vanity ensuite<br/>* Split system air-conditioners<br/>* Gas Ducted Heating<br/>* Double auto carport with storage<br/>* Zoned for Balwyn High School and Chatham Primary<br/>* Walk to Balwyn Village and the tram to private schools and the city<br/><br/>Terms: 10% deposit, balance 30/60/90 days<br/>","townhouse","$1,300,000","2023-04-29","","Balwyn","3103","-37.8118258","145.08929023","3","2","2.0","1","0","1"
"Flawless Family Lifestyle In Convenient Locale","Perfectly presented and thoroughly maintained throughout, this immaculate single-level home combines family charms, modern comfort and easy access to exceptional lifestyle amenities. With convenient access off Summit Road, inviting interior spaces reveal a light-filled living/dining area, pristine central kitchen featuring stainless steel appliances and meals area with French doors opening on to a private terrace with café blinds – perfect for weatherproof entertaining. An impressive sense of space is further highlighted by 4 bedrooms including main bedroom with twin ensuite/WIR and bathroom, plus the comfort of ducted heating & refrigerated cooling, split system AC, remote operated roller shutters, shed, cubby house and off street parking. Cherish a prime family lifestyle within the Ashwood College zone, minutes to Box Hill Centro with train station, Wattle Park, Gardiners Creek Reserve, Box Hill Golf Club, also a short walking distance to Deakin University, PLC, Kingswood College, Mount Scopus Memorial College, buses, trams and shops.","house","$1,385,000","2023-04-24","","Burwood","3125","-37.846589","145.120869","4","2","2.0","1","0","1"
"A Beautiful Heritage Home in Unique Location","Behind a beautiful stained glass door lies this magnificent home. Within the home, each feature is evident of houseproud owners from the renovated bathroom to the solar panels installed on the roof. Carpeted throughout, the home is warm and cosy and the dual fireplaces in the open plan formal living and dining area add to the warmth in the cool winter months.<br/><br/>Two of the home’s bedrooms sit within the home’s original footprint, reaping the benefits of a spacious floorplan and large windows that welcome natural light into the rooms. Each bedroom features an expanse of built-in wardrobes that feature warm timber doors that add a touch of contemporary charm to the period aesthetic. The master bedroom sits at the front of the property overlooking the manicured front garden and standing as the largest of the bedrooms.<br/><br/>The home’s bedrooms share a large central bathroom that has been recently renovated. A sleek walk-in shower is illuminated by natural light thanks to clever window placement. Though the third bedroom located at the rear of the home has its own semi-private powder room.<br/><br/>A large central kitchen offers the chance of updating to match the modern bathrooms within the home. With an abundance of benchspace and Bosch appliances, the kitchen remains practical and retains its period charm with a stunning leadlight window that looks into the home’s extension and second living room. <br/><br/>The second living room remains sunfilled given the large glass windows and doors that open out into the home’s expansive and meticulously maintained garden. Access to Surrey Park is granted via a locked gate that extends your garden to the facilities beyond, including its indoor swimming pool.<br/><br/>As far as properties in Box Hill go, you would be hard-pressed to find a more unique home in such a fantastic location. Prime parkside living harmoniously unites with convenience given the ten-minute walk it takes to get to Box Hill Central’s shops, restaurants and transport links. Residents are spoiled for choice in terms of education with Robert McCubbin Primary School and Box Hill High School all within zone.","house","$1,740,000","2023-04-22","","Box Hill","3128","-37.825615","145.118981","3","1","3.0","2","0","2"
"Luxurious parkside townhouse with no OC fee and minutes from Deakin University","This is the ideal opportunity for first home buyers, young families and investors. Positioned just metres from The Crossway Peak walking trail and Lynden Park, and within walking distance to local schools and sporting facilities, this modern double storey townhouse is also just minutes drive from Deakin University. Sporting a stunning contemporary facade featuring raked parapet walls, full render, LED drive lights and rich timber panels, the home is landscaped nicely and includes a paved driveway and lock-up garage.<br/>First impressions are appealing, with entry into a spacious living room showcasing luxe timber laminate flooring, high square-set ceilings, LED down lights and an eye-catching full-height timber frame accentuating the L-shaped staircase. The home utilises the natural gradient of the land and steps down to an open-plan layout, with raked ceiling heights increasing beyond 3000mm, creating a wonderful feeling of spaciousness. Heating, cooling and an alarm are all notable inclusions. Outside, a private courtyard awaits, hedged for privacy and adding a paved BBQ area and water tank.<br/>There's no compromising on space or quality in the luxurious kitchen, with a walk-in pantry and seamless handle less cabinetry in abundance. 40mm stone bench tops are accentuated by a black glass splashback and elegant gooseneck mixer and sink. Integrated cooking appliances and a stainless steel dishwasher are in excellent condition. The main bathroom is equally luxurious with a tiled hob bathtub and designer sink and tap ware.<br/><br/>Atop a delightful timber staircase, three large bedrooms branch off a dedicated sunny study nook and enjoy a plentitude of built-in robe storage. The master suite boasts a make-up nook and private ensuite showcasing full height wall tiles, a mosaic feature tiled wall, oversized frameless shower and mirrored vanity unit. <br/><br/>As well as being close to schools, parks, playgrounds and bus routes, the home is also within close proximity to shopping, dining and the prestigious Deakin University. <br/><br/>Property Specifications: <br/>· Three bedrooms, two open living areas, private courtyard, stunning contemporary facade<br/>· Highly appointed bathrooms and kitchen with walk-in pantry <br/>· Very high raked ceilings, LED lights, heating, cooling, alarm<br/>· Single lock-up garage<br/>· Adjacent to walking track and park, close to bus stops, schools and shops<br/>· Minutes from university<br/>","house","$1,437,000","2023-04-22","186.0","Camberwell","3124","-37.84158084","145.08829868","3","2","1.0","1","0","1"
"A peaceful hideaway beside Wattle Park","Nestled in a highly sought-after pocket surrounded by Deakin University, Presbyterian Ladies’ College, Wattle Park Primary School and the beautiful hills of Wattle Park, young families and investors will be excited by the proximity to everything from this three bedroom home.<br/><br/>With new gleaming floorboards underfoot and plenty of natural light flowing throughout, step from the quiet lounge room through to the sun-dappled living and dining room. Newly renovated, the sleek kitchen boasts stone surfaces and premium appliances, while outside, the north-facing courtyard is a great space for entertaining friends.<br/><br/>Featuring a stylish bathroom and a master bedroom with walk-in robe, leave the car in the single garage and additional car space and simply walk to the Riversdale Road tram, Burwood Highway tram and local cafes.<br/><br/>* Light-filled three bedroom home in a quiet pocket<br/>* Metres from Wattle Park, Deakin University and PLC<br/>* Peaceful lounge through to living/dining and north courtyard<br/>* Newly renovated stone kitchen with premium appliances<br/>* Ducted heating<br/>* Single garage and an extra car space<br/>* Walk to Wattle Park Primary, trams and cafes<br/><br/>Terms: 10% deposit, balance 30/45 days<br/>","townhouse","$851,000","2023-04-22","140.0","Burwood","3125","-37.84243263","145.10731503","3","1","2.0","2","0","2"
"A Picture-Perfect Family Home","Behind the home’s immaculate facade hints at an interior just as pristine as the exterior. Stepping inside the house it immediately opens up with updated oak flooring found on the lower level that leads the way to the home’s open plan kitchen, living and dining area at the rear of the property. The home features a ducted heating system that’s only two years old as well as an air conditioning unit to keep the temperature comfortable all year round, this is aided by double-glazed windows on the first floor.<br/><br/>On the right-hand side of the entry lies the first of the home’s five bedrooms, which is currently being used as a formal lounge/library. Large bay windows overlook the home’s verdant front garden, granting the room an exceptional sense of space. Moving to the rear of the property, the house suddenly opens up into a spacious and light-filled kitchen and dining area. Flooded with natural light, this space boasts an incredible indoor-outdoor floor thanks to sliding doors that provide access to the home’s outdoor entertaining area. Sleek decking lines the floors outside, creating a low-maintenance garden that still feels luscious thanks to carefully placed plants throughout the property.<br/><br/>The kitchen itself is modern and features a new dishwasher and stovetop, making cooking and cleaning a breeze. Its configuration takes advantage of the room’s perimeter, granting ample benchspace for preparation and serving meals. Linked to the kitchen is the home’s free-flowing lounge and dining room that spans the length of the property, creating a welcome retreat to unwind in.<br/><br/>The upper level hosts the remaining four bedrooms, at the top of the stairs guests come to a large retreat that could be used as a second lounge room for those with children, a hobby room or a home library. The bedroom on the right at the rear of the property is the smallest of the three rooms, making it perfect for young children or for those seeking a home office. Each bedroom features large built-in wardrobes for easy storage and the three bedrooms share a renovated bathroom that features a shower and a bath. The master bedroom overlooks the front garden and is the largest of the bedrooms, leading into a walk-in wardrobe and ensuite bathroom.<br/><br/>Set in the heart of Box Hill, you couldn’t get a better location than this. Just moments from Box Hill’s Surrey Park and minutes from Box Hill Central, including its shops, restaurants, cafes and amenities, this home is perfectly positioned to take full advantage of the local area. Further demonstrating how well-connected it is, the house is close to the 732, 735, 768 and 903 buses as well as trains to the city. For those with children, Robert McCubbins Primary School, Kingswood and Box Hill High School are in zone and are just some of the fantastic education options available in the area.","house","$1,605,000","2023-04-15","347.0","Box Hill","3128","-37.828119","145.119592","5","2","2.0","1","0","1"
"Californian Living, BHHS Zone","Presenting a charming Californian Bungalow family residence, exceptionally positioned in one of Melbourne's fastest growing locations. Zoned for esteemed Box Hill High School and moments from a myriad of signature amenities the beating heart of Box Hill has to offer. Delivering a versatile blueprint that easily adapts to suit your needs, choose to simply turnkey and enjoy as is or breathe new life into the existing home via a striking transformation, turning this into an envy of all family sensation.<br/><br/>-Embraced by wide street frontage and high vantage point, falling in love with this gem is easy <br/>-Beyond the attractive picket-fence and endearing period façade, manicured front gardens welcome you through to a home filled with character and promise<br/>- A covered veranda looks out over the front garden, providing space to unwind whilst enjoying a drink and the day's sunny rays<br/>-Inside, you will find three spacious bedrooms ready to accommodate the family with ease, all enhanced by carpets, whilst two include built-in robes<br/>-The central bathroom highlights tub-shower setup, toilet, and vanity <br/>-A spacious lounge room effortlessly merges with an immaculate kitchen and meals/dining, making this entire free-flowing zone ideal for family connection and large-scale entertaining<br/>-A second, generous, family room lends additional space for everyone to spread out<br/>-The living quarters are made bright and airy via large windows and glass doors, and offer easy access to a large backyard<br/><br/>Further highlights include:<br/>-Second bathroom with separate toilet in laundry<br/>-Ducted heating throughout<br/>-Split system heating and cooling in living zone<br/>-Wall air conditioner in family room<br/>-Excellent storage space throughout <br/>-Outdoors boasts a sunny covered alfresco and vast backyard, ideal for kids play and entertaining and offering mega scope for future extension (STCA) <br/>-Large shed<br/>-One car garage<br/>-Three car driveway with carport<br/><br/>Rejoice in the remarkable doorstep attractions:<br/>-Box Hill High School Zone, Roberts McCubbin Primary, Laburnum Primary, Kingswood College, Deakin University, Box Hill TAFE, PLC, Presbyterian Ladies College<br/>-Combarton Park and Playground, Gardiners Creek Trail, Aqualink, Surrey Park, Box Hill Gardens, Linear Reserve<br/>-Box Hill Central and its host of retail and dining options<br/>-Train and local bus lines<br/>-Box Hill & Epworth Private Hospitals<br/>-Seamless access to major arterials, linking you to the CBD and across Melbourne.<br/>","house","$1,445,000","2023-04-15","636.0","Box Hill","3128","-37.826143","145.127285","3","2","4.0","2","0","2"
"Brand new 4-Bedroom townhouse in MWSC Zone","Introducing the brand new built front town house at 1/3 McCubbin St Burwood - the ultimate family home! With its own individual driveway, this stunning property boasts 4 bedrooms, 3 bathrooms, and is equipped with top-of-the-line features.<br/><br/>Enjoy the benefits of double-glazing windows throughout the home, providing superior insulation and noise reduction. Stay comfortable all year round with split system air conditioning and heating throughout the property.<br/><br/>Located in the highly sought-after Mount Waverley Secondary School Zone, 1/3 McCubbin St Burwood offers the perfect opportunity for families seeking a quality education for their children. Convenience is key with this property, as it is situated within walking distance to the Burwood Brickworks Shopping Centre, where you can enjoy a wide variety of shopping and dining options.<br/><br/>Public transport is also easily accessible, with a short walk to both bus and tram stations, providing easy access to Melbourne's CBD and surrounding suburbs.<br/><br/>The downstairs bedroom is complete with an ensuite, perfect for guests or as a master bedroom alternative. And for added convenience, a second living area is located upstairs, creating the perfect space for relaxation or entertainment.<br/><br/>With its ideal location, luxurious features, and access to quality education, 1/3 McCubbin St Burwood is the perfect place to call home. Don't miss out on the opportunity to experience the ultimate in family living. Contact us today to schedule a viewing!<br/><br/>Photo ID required at all inspections.","townhouse","$1,355,000","2023-04-15","","Burwood","3125","-37.854275","145.130983","4","3","2.0","1","0","1"
"Traditional family charm","A stone’s throw from Gardiners Creek Trail, this classic catch has timeless appeal, poised on a generous 709sqm approx. of near-level land. Full of light, the comfortable lounge and dining room offer instant relaxation, accompanied by a casual meals zone and a practical kitchen with electric appliances and ample storage. All three bedrooms are light and airy, well-serviced by a central family bathroom with a separate toilet located next to the laundry. <br/><br/>Whether you’re looking to capitalise on the area’s popularity and growth, a renovation project or the perfect place to build your dream home or luxurious new townhouses (STCA), this lovely property is destined to have widespread appeal. Pleasing extras include, split system air conditioning, outdoors awnings, fruit trees, a lock-up garage and a carport that doubles as a covered alfresco zone.<br/><br/>In one of the best locations you could ask for, the home is zoned for Parkhill Primary School and Ashwood High School, walking distance from PLC, bus and train services and Deakin University, with proximity to Wattle Park Village, Box Hill Golf Club, Burwood Train Station, Monash Freeway, elite private schools and major shopping centres.","house","$1,537,000","2023-04-14","709.0","Burwood","3125","-37.851344","145.107178","3","1","2.0","1","0","1"
"Idyllic serenity only seconds from Beckett Park","Established within the warm embrace of a gated and secure quartet, imagine strolling every day to beautiful Beckett Park and Maranoa Gardens from this alluring three bedroom, two bathroom town residence.<br/><br/>Wonderfully private with a double auto garage and direct internal access, journey inside after a long day to unwind in the sunny north-facing lounge room or upstairs in the quiet retreat. Perfectly designed for fabulous entertaining, chat with friends across the stone bench in the Smeg-appointed kitchen as they relax in the dining/living room with French doors out to a large north decked alfresco. Expertly designed, there’s a ground floor master bedroom with a walk-in robe, built-in robe and fully-tiled stone ensuite.<br/><br/>Only metres from the 109 tram which travels to Box Hill Central, hospitals, TAFE, prestigious private schools and the city, walk to Balwyn Village shops and mouth-watering eateries. Zoned for Balwyn High School and Chatham Primary School.<br/><br/><br/>* Stylish and secure three bedroom, two bathroom town residence<br/>* Metres from Beckett Park, Maranoa Gardens and Balwyn Village<br/>* Sun-filled living areas<br/>* Gourmet stone kitchen with Smeg appliances<br/>* Large north-facing alfresco deck<br/>* Stone powder<br/>* Ducted heating, split system air-conditioners and ducted vacuum<br/>* Auto gates to a double auto garage with internal access<br/>* Security alarm and intercom<br/>* Walk to the tram bound for Box Hill and private schools<br/>* Zoned for Balwyn High School and Chatham Primary School<br/><br/>Terms: 10% deposit, balance 60/90 days<br/>","townhouse","$1,480,000","2023-04-13","","Balwyn","3103","-37.81303545","145.09105975","3","2","2.0","1","0","1"
"Feel immediately at home","Designed over 2 levels, this contemporary townhouse boasts sleek timber flooring &<br/>beautiful finishings throughout. Offering 4 generously sized bedrooms, including two<br/>impressive master suites complete with luxurious ensuites and walk-in wardrobes, as well<br/>as a lovely central bathroom with a shower.<br/>The combined kitchen, family, and meals area is well-appointed with quality appliances<br/>and ample space, perfect for entertaining. Enjoy the outdoors on the breezy porch, ideal for<br/>hosting gatherings or simply relaxing in the peaceful and low maintenance exterior.<br/>This property offers the best of both worlds, nestled in serene and verdant surroundings<br/>while still providing convenient access to transportation, parks, and schools. Within the<br/>sought-after Laburnum Primary and Box Hill High School zone, this townhouse is a short<br/>walk from Laburnum station, Box Hill Library, and local parks.<br/>Suitable for both families and retirees, this townhouse is ready to move in and call home!<br/>Get in touch with us to organise your inspection today.<br/>Features you will love:<br/>- Open plan kitchen, living and dining area<br/>- Located within the Laburnum Primary, Box Hill High School zones<br/>- Low maintenance outdoor entertaining area<br/>- Double lock up garage<br/>- Walking distance to Laburnum station and parks<br/>- Short drive to Box Hill Central, Doncaster Westfield and Brand Smart","townhouse","$1,250,000","2023-04-11","","Box Hill","3128","-37.82466288","145.13533507","4","3","2.0","1","0","1"
"Stunning Family Home in the Heart of Burwood with MWSC Zone","Looking for the perfect family home in the heart of Burwood that's located in the highly sought-after Mount Waverley Secondary School Zone? Look no further than 241 Highbury Road!<br/><br/>This stunning property boasts 3 spacious bedrooms and 2 modern bathrooms, providing ample space for families of all sizes. With a generous land size of 401 sqm, there's plenty of room for outdoor activities and entertaining.<br/><br/>Step inside and you'll be greeted by the beautiful solid timber flooring, adding a touch of warmth and elegance to the space. Plus, with ducted heating and cooling, you'll stay comfortable all year round.<br/><br/>Conveniently located near Deakin University and PLC, as well as bus and tram stations, this home offers easy access to everything you need. And with new aluminum window frames and double glazing windows, you'll enjoy plenty of natural light while keeping your home energy efficient.<br/><br/>Don't miss your chance to make this incredible property your own and secure a place in the highly-coveted Mount Waverley Secondary College Zone. Contact us today to schedule a viewing!<br/><br/>Photo ID required at all inspections.","house","$1,040,000","2023-04-02","401.0","Burwood","3125","-37.85613761","145.1207868","3","2","2.0","2","0","2"
